== ReadHeavy
-- CrossbeamSkipMap
2023-04-24T06:20:39.194050Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: generating operation mix
2023-04-24T06:20:39.194060Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: generating key space
2023-04-24T06:20:39.267984Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: constructing initial table
2023-04-24T06:21:01.822427Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: start workload mix
2023-04-24T06:21:32.012300Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: workload mix finished spent=30.189849212s ops=16777216 avg=1.799µs
2023-04-24T06:21:35.492636Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: generating operation mix
2023-04-24T06:21:35.492653Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: generating key space
2023-04-24T06:21:37.388721Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: constructing initial table
2023-04-24T06:21:49.679174Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: start workload mix
2023-04-24T06:22:06.058003Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: workload mix finished spent=16.37857813s ops=16777216 avg=975ns
2023-04-24T06:22:09.538508Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: generating operation mix
2023-04-24T06:22:09.538521Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: generating key space
2023-04-24T06:22:10.778108Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: constructing initial table
2023-04-24T06:22:19.543371Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: start workload mix
2023-04-24T06:22:31.248306Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: workload mix finished spent=11.704912547s ops=16777216 avg=697ns
2023-04-24T06:22:35.061856Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: generating operation mix
2023-04-24T06:22:35.061873Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: generating key space
2023-04-24T06:22:36.012805Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: constructing initial table
2023-04-24T06:22:43.091228Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: start workload mix
2023-04-24T06:22:52.574670Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=4}: bustle: workload mix finished spent=9.483419594s ops=16777216 avg=564ns
2023-04-24T06:22:56.056249Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: generating operation mix
2023-04-24T06:22:56.056262Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: generating key space
2023-04-24T06:22:57.091682Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: constructing initial table
2023-04-24T06:23:03.324474Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: start workload mix
2023-04-24T06:23:11.714391Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=5}: bustle: workload mix finished spent=8.389893836s ops=16777216 avg=499ns
2023-04-24T06:23:15.196108Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: generating operation mix
2023-04-24T06:23:15.196122Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: generating key space
2023-04-24T06:23:16.148823Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: constructing initial table
2023-04-24T06:23:21.796866Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: start workload mix
2023-04-24T06:23:29.575571Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=6}: bustle: workload mix finished spent=7.778680003s ops=16777216 avg=463ns
2023-04-24T06:23:33.058954Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: generating operation mix
2023-04-24T06:23:33.058967Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: generating key space
2023-04-24T06:23:33.964309Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: constructing initial table
2023-04-24T06:23:39.205258Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: start workload mix
2023-04-24T06:23:46.553878Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=7}: bustle: workload mix finished spent=7.348597608s ops=16777216 avg=437ns
2023-04-24T06:23:50.035348Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: generating operation mix
2023-04-24T06:23:50.035362Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: generating key space
2023-04-24T06:23:50.854673Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: constructing initial table
2023-04-24T06:23:55.523782Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: start workload mix
2023-04-24T06:24:02.223494Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=8}: bustle: workload mix finished spent=6.699687682s ops=16777216 avg=398ns
2023-04-24T06:24:05.704056Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: generating operation mix
2023-04-24T06:24:05.704070Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: generating key space
2023-04-24T06:24:06.517502Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: constructing initial table
2023-04-24T06:24:10.864200Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: start workload mix
2023-04-24T06:24:16.655117Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=9}: bustle: workload mix finished spent=5.790894723s ops=16777216 avg=345ns
2023-04-24T06:24:20.139943Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: generating operation mix
2023-04-24T06:24:20.139957Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: generating key space
2023-04-24T06:24:20.871495Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: constructing initial table
2023-04-24T06:24:24.720493Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: start workload mix
2023-04-24T06:24:30.084008Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=10}: bustle: workload mix finished spent=5.363490677s ops=16777216 avg=319ns
2023-04-24T06:24:33.565592Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=11}: bustle: generating operation mix
